사용일자,노선명,역명,승차총승객수,하차총승객수,승하차객수,승하차객_2
20240717,7호선,장암,2995,1082,4077,2038.5
20240717,7호선,도봉산,9510,10756,20266,10133
20240717,7호선,수락산,12683,12213,24896,12448
20240717,7호선,마들,13707,12848,26555,13277.5
20240717,7호선,노원,24160,25390,49550,24775
20240717,7호선,중계,15889,14902,30791,15395.5
20240717,7호선,하계,19073,18006,37079,18539.5
20240717,7호선,공릉(서울과학기술대),11926,11971,23897,11948.5
20240717,7호선,태릉입구,8792,8044,16836,8418
20240717,7호선,먹골,10723,10626,21349,10674.5
20240717,7호선,중화,10896,10697,21593,10796.5
20240717,7호선,상봉,18043,17125,35168,17584
20240717,7호선,면목,15276,14858,30134,15067
20240717,7호선,사가정,16293,16389,32682,16341
20240717,7호선,용마산(용마폭포공원),6117,5864,11981,5990.5
20240717,7호선,중곡,11685,11005,22690,11345
20240717,7호선,군자(능동),16133,12788,28921,14460.5
20240717,7호선,어린이대공원(세종대),14241,13923,28164,14082
20240717,7호선,건대입구,13360,13439,26799,13399.5
20240717,7호선,자양(뚝섬한강공원),8097,7911,16008,8004
20240717,7호선,청담,20182,22040,42222,21111
20240717,7호선,강남구청,17761,19708,37469,18734.5
20240717,7호선,학동,27244,28192,55436,27718
20240717,7호선,논현,20390,20694,41084,20542
20240717,7호선,반포,6719,6446,13165,6582.5
20240717,7호선,고속터미널,16502,14669,31171,15585.5
20240717,7호선,내방,16091,16269,32360,16180
20240717,7호선,이수,17292,16800,34092,17046
20240717,7호선,남성,12183,11485,23668,11834
20240717,7호선,숭실대입구(살피재),12870,12863,25733,12866.5
20240717,7호선,상도,11786,11471,23257,11628.5
20240717,7호선,장승배기,9765,9551,19316,9658
20240717,7호선,신대방삼거리,15688,15069,30757,15378.5
20240717,7호선,보라매,6867,7373,14240,7120
20240717,7호선,신풍,11895,11198,23093,11546.5
20240717,7호선,대림(구로구청),8959,8934,17893,8946.5
20240717,7호선,남구로,16020,16683,32703,16351.5
20240717,7호선,가산디지털단지,50574,51019,101593,50796.5
20240717,7호선,철산,22283,22575,44858,22429
20240717,7호선,광명사거리,20180,19807,39987,19993.5
20240717,7호선,천왕,12518,12019,24537,12268.5
20240717,7호선,온수(성공회대입구),10475,9516,19991,9995.5
20240717,8호선,암사,19971,17716,37687,18843.5
20240717,8호선,천호(풍납토성),15785,17516,33301,16650.5
20240717,8호선,강동구청,11133,11801,22934,11467
20240717,8호선,몽촌토성(평화의문),7347,7482,14829,7414.5
20240717,8호선,잠실(송파구청),16547,19198,35745,17872.5
20240717,8호선,석촌,8655,9876,18531,9265.5
20240717,8호선,송파,10736,10532,21268,10634
20240717,8호선,가락시장,8168,8987,17155,8577.5
20240717,8호선,문정,25122,26525,51647,25823.5
20240717,8호선,장지,18555,17056,35611,17805.5
20240717,8호선,복정,10041,8450,18491,9245.5
20240717,8호선,산성,6584,6780,13364,6682
20240717,8호선,남한산성입구(성남법원.검찰청),13753,12372,26125,13062.5
20240717,8호선,단대오거리,12526,12383,24909,12454.5
20240717,8호선,신흥,5426,5591,11017,5508.5
20240717,8호선,수진,6048,5699,11747,5873.5
20240717,8호선,모란,4854,3625,8479,4239.5
20240717,8호선,남위례,7934,7955,15889,7944.5
20240717,9호선,개화,3087,2020,5107,2553.5
20240717,9호선,김포공항,7167,10416,17583,8791.5
20240717,9호선,공항시장,3243,3507,6750,3375
20240717,9호선,신방화,7791,7710,15501,7750.5
20240717,9호선,마곡나루(서울식물원),14563,14276,28839,14419.5
20240717,9호선,양천향교,10727,11148,21875,10937.5
20240717,9호선,가양,22944,22493,45437,22718.5
20240717,9호선,증미,9218,9027,18245,9122.5
20240717,9호선,등촌,13315,12806,26121,13060.5
20240717,9호선,염창,18581,18180,36761,18380.5
20240717,9호선,선유도,10058,9630,19688,9844
20240717,9호선,당산,20887,20737,41624,20812
20240717,9호선,국회의사당,19095,20034,39129,19564.5
20240717,9호선,여의도,34747,33117,67864,33932
20240717,9호선,샛강,7503,7646,15149,7574.5
20240717,9호선,노량진,26511,25747,52258,26129
20240717,9호선,노들,5138,4336,9474,4737
20240717,9호선,흑석(중앙대입구),8988,9400,18388,9194
20240717,9호선,동작(현충원),1731,1375,3106,1553
20240717,9호선,구반포,1389,1345,2734,1367
20240717,9호선,신반포,4337,4216,8553,4276.5
20240717,9호선,고속터미널,14026,18281,32307,16153.5
20240717,9호선,사평,4458,4293,8751,4375.5
20240717,9호선,신논현,31985,31227,63212,31606
20240717,9호선2~3단계,언주,13212,13513,26725,13362.5
20240717,9호선2~3단계,선정릉,11059,11668,22727,11363.5
20240717,9호선2~3단계,삼성중앙,8992,9408,18400,9200
20240717,9호선2~3단계,봉은사,22352,23336,45688,22844
20240717,9호선2~3단계,종합운동장,5390,5292,10682,5341
20240717,9호선2~3단계,삼전,8854,8287,17141,8570.5
20240717,9호선2~3단계,석촌고분,7814,7657,15471,7735.5
20240717,9호선2~3단계,석촌,10025,8811,18836,9418
20240717,9호선2~3단계,송파나루,6058,6597,12655,6327.5
20240717,9호선2~3단계,한성백제,3382,3008,6390,3195
20240717,9호선2~3단계,올림픽공원(한국체대),5270,5458,10728,5364
20240717,9호선2~3단계,둔촌오륜,1575,1435,3010,1505
20240717,9호선2~3단계,중앙보훈병원,13221,11564,24785,12392.5
20240717,경강선,판교,5981,6051,12032,6016
20240717,경강선,이매,1157,1033,2190,1095
20240717,경강선,삼동,2727,2469,5196,2598
20240717,경강선,경기광주,8278,7870,16148,8074
20240717,경강선,초월,3583,3455,7038,3519
20240717,경강선,곤지암,2190,2108,4298,2149
