"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","home_run","strikeout","walk","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","p_earned_run","p_out","p_win","p_loss","p_era","p_quality_start","woba","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","out_zone_percent","n","fastball_avg_speed"
"Suárez, Ranger","624133","2023","27","22","125.0","540","483","129","13","119","48",22,".267",".414",".333","0.747","58","375","4","6","4.18","11",".325",62.1,15,38,52.7,"2023","91.9"
"Giolito, Lucas","608337","2023","28","33","184.1","794","705","169","41","204","73",25.7,".240",".482",".317","0.799","100","553","8","15","4.88","15",".339",67.6,18.8,52.6,51.4,"3190","93.1"
"Burnes, Corbin","669203","2023","28","32","193.2","784","704","141","22","200","66",25.5,".200",".324",".274","0.598","73","581","10","8","3.39","19",".266",65.8,17.9,48.6,54.4,"3079","94.5"
"Alcantara, Sandy","645261","2023","27","28","184.2","762","700","176","22","151","48",19.8,".251",".391",".302","0.693","85","554","7","12","4.14","13",".301",72.1,19,39.3,48.1,"2721","97.8"
"Strider, Spencer","675911","2023","24","32","186.2","763","696","146","22","281","58",36.8,".210",".355",".279","0.634","80","560","20","5","3.86","18",".279",70.7,26.5,65,48.6,"3099","97.2"
"Nola, Aaron","605400","2023","30","32","193.2","793","741","178","32","202","45",25.5,".240",".425",".283","0.708","96","581","12","9","4.46","15",".303",64.5,16.9,42,51.1,"3087","91.5"
"Bassitt, Chris","605135","2023","34","33","200.0","826","749","176","28","186","59",22.5,".235",".403",".299","0.702","80","600","16","8","3.60","21",".304",65.6,16.6,36.3,47.3,"3139","91"
"Miller, Bobby","676272","2023","24","22","124.1","505","464","105","12","119","32",23.6,".226",".364",".283","0.647","52","373","11","4","3.76","9",".283",67.8,19.6,43.4,50.1,"1961","98.9"
"Kershaw, Clayton","477132","2023","35","24","131.2","523","479","100","19","137","40",26.2,".209",".367",".273","0.640","36","395","13","5","2.46","11",".280",69.3,17.8,49.8,51.3,"2025","90.7"
"Irvin, Jake","663623","2023","26","24","121.0","530","462","118","20","99","54",18.7,".255",".431",".340","0.771","62","363","3","7","4.61","8",".335",64,12.6,33.1,49.1,"2147","94.2"
"Gray, Sonny","543243","2023","33","32","184.0","754","689","156","8","183","55",24.3,".226",".319",".288","0.607","57","552","8","8","2.79","17",".270",67.5,15,51.4,50.6,"2818","91.6"
"Garrett, Braxton","666129","2023","25","31","159.2","659","617","154","20","156","29",23.7,".250",".420",".294","0.714","65","479","9","7","3.66","10",".307",63.2,13.6,48.8,50,"2479","89.6"
"Gibson, Kyle","502043","2023","35","33","192.0","807","732","198","23","157","55",19.5,".270",".437",".322","0.759","101","576","15","9","4.73","17",".326",65.9,15.6,45.3,53.4,"3038","91.3"
"Ohtani, Shohei","660271","2023","28","23","132.0","531","463","85","18","167","55",31.5,".184",".333",".285","0.618","46","396","10","5","3.14","12",".277",66,22.4,54.1,48,"2094","94.2"
"Elder, Bryce","693821","2023","24","31","174.2","732","654","160","19","128","63",17.5,".245",".390",".316","0.706","74","524","12","4","3.81","16",".309",67,13.6,43.4,53.9,"2849","89.8"
"Cease, Dylan","656302","2023","27","33","177.0","784","689","172","19","214","79",27.3,".250",".405",".332","0.737","90","531","7","9","4.58","12",".321",68.6,18.7,55.3,55.1,"3262","95.6"
"Wheeler, Zack","554430","2023","33","32","192.0","787","734","168","20","212","39",26.9,".229",".364",".274","0.638","77","576","13","6","3.61","21",".277",70.6,20.2,46.9,50.3,"3155","94.7"
"Megill, Tylor","656731","2023","27","25","126.1","567","500","141","18","105","58",18.5,".282",".440",".362","0.802","66","379","9","8","4.70","6",".350",67.3,16.6,41.5,51.3,"2235","94.9"
"Montgomery, Jordan","656756","2023","30","32","188.2","777","718","177","18","166","48",21.4,".247",".393",".295","0.688","67","566","10","11","3.20","20",".298",66.4,17.7,42.7,51.8,"2920","93.1"
"Stroman, Marcus","573186","2023","32","27","136.2","575","519","120","9","119","52",20.7,".231",".335",".304","0.639","60","410","10","9","3.95","15",".285",66.6,12.9,41.9,54.2,"2203","91.2"
"Lorenzen, Michael","547179","2023","31","29","153.0","624","567","138","20","111","47",17.8,".243",".399",".302","0.701","71","459","9","9","4.18","11",".304",68.6,15.1,36.6,49.8,"2366","94.1"
"Flaherty, Jack","656427","2023","27","29","144.1","650","565","162","17","148","66",22.8,".287",".450",".370","0.820","80","433","8","9","4.99","8",".356",65.5,18.8,44.1,53.6,"2633","92.3"
"Greinke, Zack","425844","2023","39","30","142.1","593","561","158","25","97","23",16.4,".282",".467",".312","0.779","80","427","2","15","5.06","2",".332",66.4,10.5,32.9,51,"2219","89"
"Waldichuk, Ken","686610","2023","25","35","141.0","639","550","149","24","132","71",20.7,".271",".480",".360","0.840","84","423","4","9","5.36","4",".361",69.1,16.9,43.9,52,"2553","93.3"
"Darvish, Yu","506433","2023","36","24","136.1","573","517","134","18","141","42",24.6,".259",".420",".321","0.741","69","409","8","10","4.56","10",".321",64.4,17.3,44.5,48.3,"2217","93.8"
"Clevinger, Mike","605182","2023","32","24","131.1","549","496","121","16","110","40",20,".244",".407",".310","0.717","55","394","9","9","3.77","10",".312",69.4,15.3,41.8,50.2,"2100","93"
"Crawford, Kutter","676710","2023","27","31","129.1","527","484","107","17","135","36",25.6,".221",".388",".281","0.669","58","388","6","8","4.04","4",".290",72.9,21.4,39,50.2,"2099","91.5"
"Heaney, Andrew","571760","2023","32","34","147.1","641","569","143","23","151","60",23.6,".251",".439",".332","0.771","68","442","10","6","4.15","7",".335",68.3,18.6,41.8,53.1,"2603","92.5"
"López, Pablo","641154","2023","27","32","194.0","801","738","176","24","234","48",29.2,".238",".385",".292","0.677","79","582","11","8","3.66","20",".294",69.2,21.4,48,50.2,"3024","94.8"
"Valdez, Framber","664285","2023","29","31","198.0","808","728","166","19","200","57",24.8,".228",".365",".290","0.655","76","594","12","11","3.45","20",".287",65.1,13.7,56.1,49.6,"2950","94.9"
"Gray, Jon","592351","2023","31","29","157.1","656","582","149","22","142","54",21.6,".256",".400",".325","0.725","72","472","9","8","4.12","12",".317",69.2,17,46.5,49.7,"2393","95.7"
"Cobb, Alex","502171","2023","35","28","151.1","646","600","163","19","131","37",20.3,".272",".435",".319","0.754","65","454","7","7","3.87","11",".325",61.3,12.8,37.3,53.2,"2506","94.5"
"Snell, Blake","605483","2023","30","32","180.0","742","636","115","15","234","99",31.5,".181",".286",".293","0.579","45","540","14","9","2.25","20",".266",65.6,23.8,58.4,60.1,"3168","95.5"
"Bibee, Tanner","676440","2023","24","25","142.0","585","530","122","13","141","45",24.1,".230",".353",".295","0.648","47","426","10","4","2.98","11",".285",67.4,19.9,41.5,50.6,"2326","94.9"
"Kremer, Dean","665152","2023","27","32","172.2","735","673","171","27","157","55",21.4,".254",".416",".314","0.730","79","518","13","5","4.12","14",".317",69.2,18.5,38.4,50.1,"2925","92.2"
"Weaver, Luke","596133","2023","29","29","123.2","563","515","155","29","109","40",19.4,".301",".559",".353","0.912","88","371","3","6","6.40","2",".385",69,17.7,32.9,49.3,"2258","93.3"
"Hill, Rich","448179","2023","43","32","146.1","660","587","165","23","129","58",19.5,".281",".487",".351","0.838","88","439","8","14","5.41","7",".359",63.7,13.7,35,47.5,"2531","86.8"
"Eflin, Zach","621107","2023","29","31","177.2","703","671","158","19","186","24",26.5,".235",".379",".264","0.643","69","533","16","8","3.50","17",".276",64.4,16.8,38.8,47.9,"2577","90.8"
