"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","home_run","strikeout","walk","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","p_earned_run","p_out","p_win","p_loss","p_era","p_quality_start","woba","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","out_zone_percent","n","fastball_avg_speed"
"Rogers, Trevor","669432","2024","26","19","95.1","430","379","104","11","79","44",18.4,".274",".449",".351","0.800","50","286","1","9","4.72","3",".346",67.2,14.4,39.3,52.6,"1694","91.9"
"Gray, Sonny","543243","2024","34","17","99.2","399","368","81","8","121","24",30.3,".220",".351",".270","0.621","37","299","9","6","3.34","8",".272",66.2,17.3,53.2,46.7,"1459","91.2"
"Glasnow, Tyler","607192","2024","30","18","109.0","425","393","72","12","143","29",33.6,".183",".333",".239","0.572","42","327","8","5","3.47","11",".251",67.2,19.1,62.3,46.5,"1629","96.4"
"Marsh, Alec","679525","2024","26","17","90.2","377","342","82","13","83","29",22,".240",".421",".302","0.723","46","272","7","6","4.57","5",".313",68,14.4,47.9,49.3,"1491","94"
"Sánchez, Cristopher","650911","2024","27","18","103.1","422","392","99","2","87","28",20.6,".253",".319",".302","0.621","34","310","7","4","2.96","10",".277",64.5,14.3,39.7,51.2,"1572","94.4"
"Nola, Aaron","605400","2024","31","19","119.2","474","446","96","17","116","27",24.5,".215",".377",".262","0.639","45","359","11","4","3.38","14",".279",67.1,15.3,42.1,50,"1833","91.1"
"Miller, Bryce","682243","2024","25","19","109.0","432","401","87","15","98","29",22.7,".217",".367",".269","0.636","44","327","7","7","3.63","9",".278",72.1,17.2,41.4,47.3,"1651","94.9"
"Harrison, Kyle","690986","2024","22","16","86.0","369","332","90","10","73","27",19.8,".271",".431",".333","0.764","39","258","5","4","4.08","7",".333",67.5,16.6,40.8,47.4,"1393","92.8"
"Keller, Mitch","656605","2024","28","19","114.1","491","443","113","12","105","30",21.4,".255",".418",".317","0.735","44","343","10","5","3.46","10",".320",63.9,16,36.9,46.5,"1778","93.5"
"Valdez, Framber","664285","2024","30","16","98.1","403","361","94","8","82","32",20.3,".260",".368",".325","0.693","40","295","8","5","3.66","10",".307",60.7,12.3,53.9,49.7,"1442","93.8"
"Littell, Zack","641793","2024","28","19","101.1","439","414","120","14","94","19",21.4,".290",".452",".327","0.779","48","304","3","6","4.26","7",".338",70.6,14.1,45.6,46.6,"1636","92.3"
"Paddack, Chris","663978","2024","28","17","88.1","384","360","102","14","79","21",20.6,".283",".444",".323","0.767","49","265","5","3","4.99","4",".333",68.1,17.5,39,49.4,"1460","93.3"
"Singer, Brady","663903","2024","27","19","104.0","439","397","96","13","99","32",22.6,".242",".411",".310","0.721","37","312","5","6","3.20","7",".316",64.7,12.9,51,52,"1723","92"
"Gallen, Zac","668678","2024","28","15","76.2","315","292","72","8","76","21",24.1,".247",".401",".298","0.699","33","230","6","5","3.87","7",".305",65.9,13.2,44.9,56.8,"1249","93.2"
"Fedde, Erick","607200","2024","31","19","111.1","458","422","96","11","99","30",21.6,".227",".358",".280","0.638","37","334","7","3","2.99","9",".280",68.9,16,36.9,52.6,"1795","91.6"
"McKenzie, Triston","663474","2024","26","16","75.2","340","288","69","19","74","49",21.8,".240",".479",".351","0.830","43","227","3","5","5.11","3",".360",64.3,12.4,52,51.8,"1304","91.1"
"Greene, Hunter","668881","2024","24","19","110.1","456","390","78","10","126","45",27.6,".200",".333",".300","0.633","41","331","6","4","3.34","8",".285",72.6,22.4,48.8,51.2,"1927","97.7"
"Taillon, Jameson","592791","2024","32","16","93.0","383","360","90","12","75","18",19.6,".250",".378",".284","0.662","32","279","7","4","3.10","9",".289",65.7,12.2,38.2,46,"1409","90.5"
"Ragans, Cole","666142","2024","26","20","116.2","476","433","95","8","141","38",29.6,".219",".328",".285","0.613","41","350","6","6","3.16","14",".273",70.1,24.8,50.2,52.3,"1929","94.8"
"López, Reynaldo","625643","2024","30","17","95.2","386","347","78","6","95","34",24.6,".225",".326",".291","0.617","20","287","7","3","1.88","10",".275",66.9,18.3,44.5,49.3,"1483","95.4"
"Flexen, Chris","623167","2024","29","20","97.0","415","375","97","16","71","36",17.1,".259",".456",".324","0.780","52","291","2","8","4.82","6",".338",69.4,16.1,35,53.2,"1611","89.7"
"Severino, Luis","622663","2024","30","18","109.2","456","406","94","12","81","37",17.8,".232",".352",".308","0.660","46","329","6","3","3.78","8",".295",69.8,14.7,33.2,48.1,"1702","95.5"
