"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","home_run","strikeout","walk","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","p_earned_run","p_out","p_win","p_loss","p_era","p_quality_start","woba","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","out_zone_percent","n","fastball_avg_speed"
"Darvish, Yu","506433","2021","34","30","166.1","681","623","138","28","199","44",29.2,".222",".429",".279","0.708","78","499","8","11","4.22","13",".301",66.6,19.5,49.6,47.1,"2769","94.1"
"Miley, Wade","489119","2021","34","28","163.0","690","627","166","17","125","50",18.1,".265",".408",".321","0.729","61","489","12","7","3.37","15",".317",70.4,18.6,32.3,57.6,"2592","86.6"
"McCullers Jr., Lance","621121","2021","27","28","162.1","684","596","122","13","185","76",27,".205",".324",".305","0.629","57","487","13","5","3.16","15",".283",59.4,16.6,57.2,53.4,"2788","93.7"
"Kelly, Merrill","518876","2021","32","27","158.0","667","612","163","21","130","41",19.5,".266",".433",".315","0.748","78","474","7","11","4.44","10",".319",70.3,12.9,40.6,48.7,"2425","91.5"
"McClanahan, Shane","663556","2021","24","25","123.1","517","476","120","14","141","37",27.3,".252",".389",".309","0.698","47","370","10","6","3.43","6",".304",68.6,19.4,62.3,48.4,"1954","96.4"
"Manaea, Sean","640455","2021","29","32","179.1","754","702","179","25","194","41",25.7,".255",".415",".304","0.719","78","538","11","10","3.91","15",".310",71.3,22.3,41.7,45.4,"2980","92.1"
"Castillo, Luis","622491","2021","28","33","187.2","803","711","181","19","192","75",23.9,".255",".402",".331","0.733","83","563","8","16","3.98","18",".318",71,21.5,43,53.7,"3164","97.2"
"Wacha, Michael","608379","2021","29","29","124.2","528","488","132","23","121","31",22.9,".270",".467",".317","0.784","70","374","3","5","5.05","3",".334",73.1,16.1,39.8,48,"1974","92"
"Rodriguez, Eduardo","593958","2021","28","32","157.2","675","622","172","19","185","47",27.4,".277",".437",".328","0.765","83","473","13","8","4.74","9",".330",69,20.1,40.4,51,"2721","91.5"
"Gray, Jon","592351","2021","29","29","149.0","644","572","140","21","157","58",24.4,".245",".420",".321","0.741","76","447","8","12","4.59","11",".320",66.4,18.3,53,48.3,"2537","94.9"
"Senzatela, Antonio","622608","2021","26","28","156.2","670","620","178","12","105","32",15.7,".287",".421",".328","0.749","77","470","4","10","4.42","15",".323",70.5,13.8,38.9,47.4,"2405","94.6"
"Taillon, Jameson","592791","2021","29","29","144.1","603","547","130","24","140","44",23.2,".238",".422",".299","0.721","69","433","8","6","4.30","8",".309",71.7,19.6,43.1,49.5,"2372","93.5"
"Bumgarner, Madison","518516","2021","31","26","146.1","613","553","134","24","124","39",20.2,".242",".439",".302","0.741","76","439","7","10","4.67","10",".315",67.6,15.9,37,46.9,"2294","88.2"
"Kikuchi, Yusei","579328","2021","30","29","157.0","666","597","145","27","163","62",24.5,".243",".432",".319","0.751","77","471","7","9","4.41","14",".325",66.7,18.4,50.6,48.4,"2561","93.2"
"Mize, Casey","663554","2021","24","30","150.1","612","555","130","24","118","41",19.3,".234",".418",".298","0.716","62","451","7","9","3.71","12",".308",66.5,16.2,39.7,49.7,"2357","93.6"
"Valdez, Framber","664285","2021","27","22","134.2","572","501","110","12","125","58",21.9,".220",".327",".313","0.640","47","404","11","6","3.14","13",".288",61.5,13.4,56.2,51.3,"2090","92.4"
"Fedde, Erick","607200","2021","28","29","133.1","590","524","144","23","128","48",21.7,".275",".466",".337","0.803","81","400","7","9","5.47","6",".340",67.8,14.5,39.2,53.7,"2409","92.3"
"Bassitt, Chris","605135","2021","32","27","157.1","637","583","127","15","159","39",25,".218",".348",".278","0.626","55","472","12","4","3.15","16",".274",65,18.6,38.4,45.9,"2381","91.9"
"Stroman, Marcus","573186","2021","30","33","179.0","729","665","161","17","158","43",21.7,".242",".362",".292","0.654","60","537","10","13","3.02","16",".284",66.3,16.1,47.7,51.3,"2741","91.4"
"Keuchel, Dallas","572971","2021","33","32","162.0","720","652","189","25","95","59",13.2,".290",".472",".355","0.827","95","486","9","9","5.28","9",".356",66.2,13.1,34.5,57.9,"2726","86.8"
"Gonzales, Marco","594835","2021","29","25","143.1","585","535","125","29","108","42",18.5,".234",".465",".295","0.760","63","430","10","6","3.96","13",".321",68.8,15.3,32.2,51.3,"2324","87.7"
"Musgrove, Joe","605397","2021","28","32","181.1","748","667","142","22","203","54",27.1,".213",".364",".287","0.651","64","544","11","9","3.18","15",".284",63.4,17.9,51.9,50.9,"2938","92.2"
"Lynn, Lance","458681","2021","34","28","157.0","641","588","123","18","176","45",27.5,".209",".338",".267","0.605","47","471","11","6","2.69","13",".264",73.3,20.8,41.8,50.3,"2503","91.9"
"Ohtani, Shohei","660271","2021","26","23","130.1","533","473","98","15","156","44",29.3,".207",".351",".286","0.637","46","391","9","2","3.18","14",".279",69.2,20.2,53.8,48.5,"2027","93.7"
"Buehler, Walker","621111","2021","26","33","207.2","815","747","149","19","212","52",26,".199",".329",".256","0.585","57","623","16","4","2.47","27",".255",67.2,17.4,47,48.7,"3152","94.5"
"Singer, Brady","663903","2021","24","27","128.1","586","519","146","14","131","53",22.4,".281",".414",".358","0.772","70","385","5","10","4.91","10",".338",62,16.5,47,49.5,"2287","93.7"
"Mahle, Tyler","641816","2021","26","33","180.0","759","674","158","24","210","64",27.7,".234",".396",".309","0.705","75","540","13","6","3.75","12",".308",66.3,21.9,43.5,52.2,"3196","93.4"
"Means, John","607644","2021","28","26","146.2","590","557","125","30","134","26",22.7,".224",".427",".263","0.690","59","440","6","9","3.62","12",".294",73,23,32.1,48.8,"2328","92.8"
"Richards, Garrett","572070","2021","33","40","136.2","617","547","158","19","115","60",18.6,".289",".468",".361","0.829","74","410","7","8","4.87","4",".356",71.8,14.1,48.4,48.4,"2331","94.3"
"Rodón, Carlos","607074","2021","28","24","132.2","534","481","91","13","185","36",34.6,".189",".306",".255","0.561","35","398","13","5","2.37","9",".247",70.8,24.4,53.4,50.4,"2219","95.4"
"Flexen, Chris","623167","2021","26","31","179.2","741","690","185","19","125","40",16.9,".268",".414",".309","0.723","72","539","14","6","3.61","15",".311",71.7,14,32,50.9,"2811","91.2"
"Gausman, Kevin","592332","2021","30","33","192.0","775","715","150","20","227","50",29.3,".210",".345",".264","0.609","60","576","14","6","2.81","20",".265",71.4,22.4,51.2,49.2,"3002","94.6"
"Corbin, Patrick","571578","2021","31","31","171.2","751","672","192","37","143","60",19,".286",".510",".345","0.855","111","515","9","16","5.82","13",".362",67,12.4,46.1,54.9,"2750","92.4"
"Montgomery, Jordan","656756","2021","28","30","157.1","661","600","150","19","162","51",24.5,".250",".380",".308","0.688","67","472","6","7","3.83","9",".299",70.1,20.7,46.1,51.7,"2570","91.1"
"Wood, Alex","622072","2021","30","26","138.2","585","529","125","14","152","39",26,".236",".372",".308","0.680","59","416","10","4","3.83","9",".298",64.5,18.8,46.2,49.2,"2195","91.8"
"Walker, Taijuan","592836","2021","28","30","159.0","654","590","133","26","146","55",22.3,".225",".400",".294","0.694","79","477","7","11","4.47","10",".301",64.8,19.2,34.9,48,"2547","94.2"
"Minor, Mike","501985","2021","33","28","158.2","669","619","156","26","149","41",22.3,".252",".447",".303","0.750","89","476","8","12","5.05","9",".321",68.4,18,37.3,52,"2621","90.9"
"Rogers, Trevor","669432","2021","23","25","133.0","550","490","107","6","157","46",28.5,".218",".318",".291","0.609","39","399","7","8","2.64","9",".270",68.1,24.2,46.2,48.9,"2169","94.5"
"Cease, Dylan","656302","2021","25","32","165.2","708","623","139","20","226","68",31.9,".223",".364",".306","0.670","72","497","13","7","3.91","10",".295",67,25.9,52.5,52.9,"2957","96.7"
"Montas, Frankie","593423","2021","28","32","187.0","778","707","164","20","207","57",26.6,".232",".372",".294","0.666","70","561","13","9","3.37","20",".290",70.2,20.9,46.6,52.3,"3028","95.7"
"Márquez, Germán","608566","2021","26","32","180.0","756","682","165","21","176","64",23.3,".242",".389",".311","0.700","88","540","12","11","4.40","17",".303",69.2,16.3,56.8,49.2,"2788","94.7"
"DeSclafani, Anthony","543101","2021","31","31","167.2","676","626","141","19","152","42",22.5,".225",".358",".276","0.634","59","503","13","7","3.17","15",".276",68.5,16,45.2,48.1,"2558","94"
"Lester, Jon","452657","2021","37","28","141.1","627","558","159","25","91","55",14.5,".285",".478",".349","0.827","74","424","7","6","4.71","7",".352",70.5,15.3,29.6,56,"2380","87.6"
"Crowe, Wil","640444","2021","26","26","116.2","524","457","126","25","111","57",21.2,".276",".501",".363","0.864","71","350","4","8","5.48","3",".369",67.8,15.6,46.3,55,"2171","93.5"
"Snell, Blake","605483","2021","28","27","128.2","550","472","101","16","170","69",30.9,".214",".375",".317","0.692","60","386","7","6","4.20","7",".305",66.9,19.7,56.9,54.8,"2347","95.1"
"Matz, Steven","571927","2021","30","29","150.2","647","597","158","18","144","43",22.3,".265",".405",".320","0.725","64","452","14","7","3.82","9",".315",65.5,16.5,39.4,46.5,"2557","94.5"
"Alcantara, Sandy","645261","2021","25","33","205.2","837","768","171","21","201","50",24,".223",".365",".278","0.643","73","617","9","15","3.19","23",".279",71.4,19.2,45.4,48.3,"3095","97.8"
"Davies, Zach","605200","2021","28","32","148.0","668","577","162","25","114","75",17.1,".281",".485",".367","0.852","95","444","6","12","5.78","5",".366",66.8,14.2,37.5,57.6,"2577","87.8"
"Burnes, Corbin","669203","2021","26","28","167.0","657","612","123","7","234","34",35.6,".201",".273",".248","0.521","45","501","11","5","2.43","18",".232",64.9,22.1,59,53.9,"2594","95.5"
"Gray, Sonny","543243","2021","31","26","135.1","575","512","115","19","155","50",27,".225",".385",".302","0.687","63","406","7","9","4.19","9",".300",61.2,15.3,48.1,52.9,"2228","92.3"
